"Date Printed: Monday, August 10, 2026 2:43:04 PM"
Title: "Chlamydia | Gonorrhea | Primary and Secondary Syphilis | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | 2022 | 2023 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | 15-19 | 20-24 | 25-29""
Footnote(s): 
   NA - Not Applicable.



Indicator,Year,Geography,FIPS,Age Group,Cases,Rate per 100000
"Primary and Secondary Syphilis","2018","Louisiana","22","15-19","51","17.2"
"Primary and Secondary Syphilis","2018","Louisiana","22","20-24","150","48.6"
"Primary and Secondary Syphilis","2018","Louisiana","22","25-29","167","48.6"
"Chlamydia","2018","Maine","23","15-19","840","1075.4"
"Chlamydia","2018","Maine","23","20-24","1,457","1930.4"
"Chlamydia","2018","Maine","23","25-29","645","799.6"
"Gonorrhea","2018","Maine","23","15-19","67","85.8"
"Gonorrhea","2018","Maine","23","20-24","178","235.8"
"Gonorrhea","2018","Maine","23","25-29","166","205.8"
"Primary and Secondary Syphilis","2018","Maine","23","15-19","3","3.8"
"Primary and Secondary Syphilis","2018","Maine","23","20-24","12","15.9"
"Primary and Secondary Syphilis","2018","Maine","23","25-29","13","16.1"
"Chlamydia","2018","Maryland","24","15-19","9,837","2582.1"
"Chlamydia","2018","Maryland","24","20-24","12,805","3410.0"
"Chlamydia","2018","Maryland","24","25-29","6,515","1564.5"
"Gonorrhea","2018","Maryland","24","15-19","1,769","464.3"
"Gonorrhea","2018","Maryland","24","20-24","2,732","727.5"
"Gonorrhea","2018","Maryland","24","25-29","2,278","547.0"
"Primary and Secondary Syphilis","2018","Maryland","24","15-19","30","7.9"
"Primary and Secondary Syphilis","2018","Maryland","24","20-24","112","29.8"
"Primary and Secondary Syphilis","2018","Maryland","24","25-29","177","42.5"
"Chlamydia","2018","Massachusetts","25","15-19","6,728","1484.6"
"Chlamydia","2018","Massachusetts","25","20-24","11,475","2342.5"
"Chlamydia","2018","Massachusetts","25","25-29","6,050","1199.1"
"Gonorrhea","2018","Massachusetts","25","15-19","751","165.7"
"Gonorrhea","2018","Massachusetts","25","20-24","1,952","398.5"
"Gonorrhea","2018","Massachusetts","25","25-29","1,955","387.5"
"Primary and Secondary Syphilis","2018","Massachusetts","25","15-19","22","4.9"
"Primary and Secondary Syphilis","2018","Massachusetts","25","20-24","96","19.6"
"Primary and Secondary Syphilis","2018","Massachusetts","25","25-29","116","23.0"
"Chlamydia","2018","Michigan","26","15-19","15,030","2303.7"
"Chlamydia","2018","Michigan","26","20-24","18,808","2712.7"
"Chlamydia","2018","Michigan","26","25-29","9,304","1342.5"
"Gonorrhea","2018","Michigan","26","15-19","3,454","529.4"
"Gonorrhea","2018","Michigan","26","20-24","4,879","703.7"
"Gonorrhea","2018","Michigan","26","25-29","3,604","520.0"
"Primary and Secondary Syphilis","2018","Michigan","26","15-19","29","4.4"
"Primary and Secondary Syphilis","2018","Michigan","26","20-24","127","18.3"
"Primary and Secondary Syphilis","2018","Michigan","26","25-29","158","22.8"
"Chlamydia","2018","Minnesota","27","15-19","5,973","1669.1"
"Chlamydia","2018","Minnesota","27","20-24","8,479","2362.7"
"Chlamydia","2018","Minnesota","27","25-29","4,304","1145.0"
"Gonorrhea","2018","Minnesota","27","15-19","1,248","348.7"
"Gonorrhea","2018","Minnesota","27","20-24","1,930","537.8"
"Gonorrhea","2018","Minnesota","27","25-29","1,619","430.7"
"Primary and Secondary Syphilis","2018","Minnesota","27","15-19","15","4.2"
"Primary and Secondary Syphilis","2018","Minnesota","27","20-24","39","10.9"
"Primary and Secondary Syphilis","2018","Minnesota","27","25-29","61","16.2"
"Chlamydia","2018","Mississippi","28","15-19","7,186","3541.6"
"Chlamydia","2018","Mississippi","28","20-24","8,519","4171.6"
"Chlamydia","2018","Mississippi","28","25-29","3,697","1764.0"
"Gonorrhea","2018","Mississippi","28","15-19","2,202","1085.2"
"Gonorrhea","2018","Mississippi","28","20-24","3,275","1603.7"
"Gonorrhea","2018","Mississippi","28","25-29","2,032","969.6"
"Primary and Secondary Syphilis","2018","Mississippi","28","15-19","54","26.6"
"Primary and Secondary Syphilis","2018","Mississippi","28","20-24","131","64.1"
"Primary and Secondary Syphilis","2018","Mississippi","28","25-29","108","51.5"
"Chlamydia","2018","Missouri","29","15-19","9,834","2515.4"
"Chlamydia","2018","Missouri","29","20-24","12,823","3142.5"
"Chlamydia","2018","Missouri","29","25-29","6,363","1495.3"
"Gonorrhea","2018","Missouri","29","15-19","2,615","668.9"
"Gonorrhea","2018","Missouri","29","20-24","4,063","995.7"
"Gonorrhea","2018","Missouri","29","25-29","3,334","783.5"
"Primary and Secondary Syphilis","2018","Missouri","29","15-19","28","7.2"
"Primary and Secondary Syphilis","2018","Missouri","29","20-24","133","32.6"
"Primary and Secondary Syphilis","2018","Missouri","29","25-29","182","42.8"
"Chlamydia","2018","Montana","30","15-19","1,401","2196.3"
"Chlamydia","2018","Montana","30","20-24","1,762","2433.6"
"Chlamydia","2018","Montana","30","25-29","843","1183.5"
"Gonorrhea","2018","Montana","30","15-19","144","225.7"
"Gonorrhea","2018","Montana","30","20-24","280","386.7"
"Gonorrhea","2018","Montana","30","25-29","249","349.6"
"Primary and Secondary Syphilis","2018","Montana","30","15-19","5","7.8"
"Primary and Secondary Syphilis","2018","Montana","30","20-24","7","9.7"
"Primary and Secondary Syphilis","2018","Montana","30","25-29","6","8.4"
"Chlamydia","2018","Nebraska","31","15-19","2,069","1574.1"
"Chlamydia","2018","Nebraska","31","20-24","3,086","2263.2"
"Chlamydia","2018","Nebraska","31","25-29","1,482","1158.2"
"Gonorrhea","2018","Nebraska","31","15-19","358","272.4"
"Gonorrhea","2018","Nebraska","31","20-24","742","544.2"
"Gonorrhea","2018","Nebraska","31","25-29","619","483.7"
"Primary and Secondary Syphilis","2018","Nebraska","31","15-19","3","2.3"
"Primary and Secondary Syphilis","2018","Nebraska","31","20-24","21","15.4"
"Primary and Secondary Syphilis","2018","Nebraska","31","25-29","23","18.0"
"Chlamydia","2018","Nevada","32","15-19","3,874","2142.2"
"Chlamydia","2018","Nevada","32","20-24","5,999","3303.7"
"Chlamydia","2018","Nevada","32","25-29","3,601","1587.5"
"Gonorrhea","2018","Nevada","32","15-19","1,039","574.5"
"Gonorrhea","2018","Nevada","32","20-24","1,559","858.6"
"Gonorrhea","2018","Nevada","32","25-29","1,380","608.4"
"Primary and Secondary Syphilis","2018","Nevada","32","15-19","17","9.4"
"Primary and Secondary Syphilis","2018","Nevada","32","20-24","107","58.9"
"Primary and Secondary Syphilis","2018","Nevada","32","25-29","148","65.2"
"Chlamydia","2018","New Hampshire","33","15-19","857","1012.2"
"Chlamydia","2018","New Hampshire","33","20-24","1,629","1826.5"
"Chlamydia","2018","New Hampshire","33","25-29","671","780.9"
"Gonorrhea","2018","New Hampshire","33","15-19","55","65.0"
"Gonorrhea","2018","New Hampshire","33","20-24","151","169.3"
"Gonorrhea","2018","New Hampshire","33","25-29","114","132.7"
"Primary and Secondary Syphilis","2018","New Hampshire","33","15-19","4","4.7"
"Primary and Secondary Syphilis","2018","New Hampshire","33","20-24","15","16.8"
"Primary and Secondary Syphilis","2018","New Hampshire","33","25-29","15","17.5"
"Chlamydia","2018","New Jersey","34","15-19","7,794","1402.4"
"Chlamydia","2018","New Jersey","34","20-24","14,817","2703.8"
"Chlamydia","2018","New Jersey","34","25-29","7,147","1236.3"
"Gonorrhea","2018","New Jersey","34","15-19","1,284","231.0"
"Gonorrhea","2018","New Jersey","34","20-24","2,582","471.2"
"Gonorrhea","2018","New Jersey","34","25-29","1,962","339.4"
"Primary and Secondary Syphilis","2018","New Jersey","34","15-19","16","2.9"
"Primary and Secondary Syphilis","2018","New Jersey","34","20-24","98","17.9"
"Primary and Secondary Syphilis","2018","New Jersey","34","25-29","141","24.4"
"Chlamydia","2018","New Mexico","35","15-19","3,540","2547.0"
"Chlamydia","2018","New Mexico","35","20-24","4,718","3339.9"
"Chlamydia","2018","New Mexico","35","25-29","2,646","1819.5"
"Gonorrhea","2018","New Mexico","35","15-19","615","442.5"
"Gonorrhea","2018","New Mexico","35","20-24","1,204","852.3"
"Gonorrhea","2018","New Mexico","35","25-29","1,185","814.8"
"Primary and Secondary Syphilis","2018","New Mexico","35","15-19","15","10.8"
"Primary and Secondary Syphilis","2018","New Mexico","35","20-24","45","31.9"
"Primary and Secondary Syphilis","2018","New Mexico","35","25-29","44","30.3"
"Chlamydia","2018","New York","36","15-19","27,637","2326.5"
"Chlamydia","2018","New York","36","20-24","39,163","3018.0"
"Chlamydia","2018","New York","36","25-29","24,154","1630.1"
"Gonorrhea","2018","New York","36","15-19","4,675","393.6"
"Gonorrhea","2018","New York","36","20-24","8,369","644.9"
"Gonorrhea","2018","New York","36","25-29","8,946","603.8"
"Primary and Secondary Syphilis","2018","New York","36","15-19","79","6.7"
"Primary and Secondary Syphilis","2018","New York","36","20-24","378","29.1"
"Primary and Secondary Syphilis","2018","New York","36","25-29","588","39.7"
"Chlamydia","2018","North Carolina","37","15-19","18,789","2737.8"
"Chlamydia","2018","North Carolina","37","20-24","25,265","3614.8"
"Chlamydia","2018","North Carolina","37","25-29","12,266","1686.1"
"Gonorrhea","2018","North Carolina","37","15-19","4,204","612.6"
"Gonorrhea","2018","North Carolina","37","20-24","7,092","1014.7"
"Gonorrhea","2018","North Carolina","37","25-29","5,306","729.4"
"Primary and Secondary Syphilis","2018","North Carolina","37","15-19","59","8.6"
"Primary and Secondary Syphilis","2018","North Carolina","37","20-24","210","30.0"
"Primary and Secondary Syphilis","2018","North Carolina","37","25-29","270","37.1"
"Chlamydia","2018","North Dakota","38","15-19","824","1751.6"
"Chlamydia","2018","North Dakota","38","20-24","1,370","2164.8"
"Chlamydia","2018","North Dakota","38","25-29","666","1094.0"
"Gonorrhea","2018","North Dakota","38","15-19","188","399.6"
"Gonorrhea","2018","North Dakota","38","20-24","370","584.7"
"Gonorrhea","2018","North Dakota","38","25-29","311","510.9"
"Primary and Secondary Syphilis","2018","North Dakota","38","15-19","1","2.1"
"Primary and Secondary Syphilis","2018","North Dakota","38","20-24","6","9.5"
"Primary and Secondary Syphilis","2018","North Dakota","38","25-29","15","24.6"
"Chlamydia","2018","Ohio","39","15-19","18,843","2478.6"
"Chlamydia","2018","Ohio","39","20-24","23,507","3105.1"
"Chlamydia","2018","Ohio","39","25-29","11,220","1393.9"
"Gonorrhea","2018","Ohio","39","15-19","4,635","609.7"
"Gonorrhea","2018","Ohio","39","20-24","7,134","942.3"
"Gonorrhea","2018","Ohio","39","25-29","5,431","674.7"
"Primary and Secondary Syphilis","2018","Ohio","39","15-19","54","7.1"
"Primary and Secondary Syphilis","2018","Ohio","39","20-24","143","18.9"
"Primary and Secondary Syphilis","2018","Ohio","39","25-29","163","20.3"
"Chlamydia","2018","Oklahoma","40","15-19","6,343","2403.5"
"Chlamydia","2018","Oklahoma","40","20-24","8,005","2924.0"
"Chlamydia","2018","Oklahoma","40","25-29","3,869","1378.0"
"Gonorrhea","2018","Oklahoma","40","15-19","1,534","581.3"
"Gonorrhea","2018","Oklahoma","40","20-24","2,461","898.9"
"Gonorrhea","2018","Oklahoma","40","25-29","1,884","671.0"
"Primary and Secondary Syphilis","2018","Oklahoma","40","15-19","28","10.6"
"Primary and Secondary Syphilis","2018","Oklahoma","40","20-24","88","32.1"
"Primary and Secondary Syphilis","2018","Oklahoma","40","25-29","84","29.9"
"Chlamydia","2018","Oregon","41","15-19","4,590","1864.4"
"Chlamydia","2018","Oregon","41","20-24","6,582","2484.3"
"Chlamydia","2018","Oregon","41","25-29","3,637","1200.6"
"Gonorrhea","2018","Oregon","41","15-19","541","219.7"
"Gonorrhea","2018","Oregon","41","20-24","1,213","457.8"
"Gonorrhea","2018","Oregon","41","25-29","1,302","429.8"
"Primary and Secondary Syphilis","2018","Oregon","41","15-19","12","4.9"
"Primary and Secondary Syphilis","2018","Oregon","41","20-24","61","23.0"
"Primary and Secondary Syphilis","2018","Oregon","41","25-29","91","30.0"
"Chlamydia","2018","Pennsylvania","42","15-19","16,357","2021.4"
"Chlamydia","2018","Pennsylvania","42","20-24","22,265","2740.6"
"Chlamydia","2018","Pennsylvania","42","25-29","10,869","1250.3"
"Gonorrhea","2018","Pennsylvania","42","15-19","2,514","310.7"
"Gonorrhea","2018","Pennsylvania","42","20-24","4,324","532.2"
"Gonorrhea","2018","Pennsylvania","42","25-29","3,554","408.8"
"Primary and Secondary Syphilis","2018","Pennsylvania","42","15-19","42","5.2"
"Primary and Secondary Syphilis","2018","Pennsylvania","42","20-24","161","19.8"
"Primary and Secondary Syphilis","2018","Pennsylvania","42","25-29","190","21.9"
"Chlamydia","2018","Rhode Island","44","15-19","1,392","1943.8"
"Chlamydia","2018","Rhode Island","44","20-24","2,134","2780.9"
"Chlamydia","2018","Rhode Island","44","25-29","997","1301.3"
"Gonorrhea","2018","Rhode Island","44","15-19","180","251.4"
"Gonorrhea","2018","Rhode Island","44","20-24","373","486.1"
"Gonorrhea","2018","Rhode Island","44","25-29","275","358.9"
"Primary and Secondary Syphilis","2018","Rhode Island","44","15-19","4","5.6"
"Primary and Secondary Syphilis","2018","Rhode Island","44","20-24","14","18.2"
"Primary and Secondary Syphilis","2018","Rhode Island","44","25-29","14","18.3"
"Chlamydia","2018","South Carolina","45","15-19","10,147","3139.3"
"Chlamydia","2018","South Carolina","45","20-24","12,401","3743.3"
"Chlamydia","2018","South Carolina","45","25-29","6,193","1747.5"
"Gonorrhea","2018","South Carolina","45","15-19","2,855","883.3"
"Gonorrhea","2018","South Carolina","45","20-24","4,253","1283.8"
"Gonorrhea","2018","South Carolina","45","25-29","2,974","839.2"
"Primary and Secondary Syphilis","2018","South Carolina","45","15-19","24","7.4"
"Primary and Secondary Syphilis","2018","South Carolina","45","20-24","82","24.8"
"Primary and Secondary Syphilis","2018","South Carolina","45","25-29","111","31.3"
"Chlamydia","2018","South Dakota","46","15-19","1,094","1909.7"
"Chlamydia","2018","South Dakota","46","20-24","1,625","2734.8"
"Chlamydia","2018","South Dakota","46","25-29","849","1460.9"
"Gonorrhea","2018","South Dakota","46","15-19","233","406.7"
"Gonorrhea","2018","South Dakota","46","20-24","483","812.9"
"Gonorrhea","2018","South Dakota","46","25-29","399","686.6"
"Primary and Secondary Syphilis","2018","South Dakota","46","15-19","0","0.0"
"Primary and Secondary Syphilis","2018","South Dakota","46","20-24","12","20.2"
"Primary and Secondary Syphilis","2018","South Dakota","46","25-29","7","12.0"
"Chlamydia","2018","Tennessee","47","15-19","10,734","2525.4"
"Chlamydia","2018","Tennessee","47","20-24","14,332","3212.6"
"Chlamydia","2018","Tennessee","47","25-29","7,137","1447.3"
"Gonorrhea","2018","Tennessee","47","15-19","2,700","635.2"
"Gonorrhea","2018","Tennessee","47","20-24","4,545","1018.8"
"Gonorrhea","2018","Tennessee","47","25-29","3,217","652.4"
"Primary and Secondary Syphilis","2018","Tennessee","47","15-19","23","5.4"
"Primary and Secondary Syphilis","2018","Tennessee","47","20-24","120","26.9"
"Primary and Secondary Syphilis","2018","Tennessee","47","25-29","144","29.2"
"Chlamydia","2018","Texas","48","15-19","39,437","1941.9"
"Chlamydia","2018","Texas","48","20-24","54,102","2716.6"
"Chlamydia","2018","Texas","48","25-29","26,893","1248.5"
"Gonorrhea","2018","Texas","48","15-19","9,355","460.6"
"Gonorrhea","2018","Texas","48","20-24","14,166","711.3"
"Gonorrhea","2018","Texas","48","25-29","10,064","467.2"
"Primary and Secondary Syphilis","2018","Texas","48","15-19","161","7.9"
"Primary and Secondary Syphilis","2018","Texas","48","20-24","553","27.8"
"Primary and Secondary Syphilis","2018","Texas","48","25-29","598","27.8"
"Chlamydia","2018","Utah","49","15-19","2,633","1059.9"
"Chlamydia","2018","Utah","49","20-24","3,734","1441.3"
"Chlamydia","2018","Utah","49","25-29","1,898","769.0"
"Gonorrhea","2018","Utah","49","15-19","319","128.4"
"Gonorrhea","2018","Utah","49","20-24","689","266.0"
"Gonorrhea","2018","Utah","49","25-29","620","251.2"
"Primary and Secondary Syphilis","2018","Utah","49","15-19","9","3.6"
"Primary and Secondary Syphilis","2018","Utah","49","20-24","21","8.1"
"Primary and Secondary Syphilis","2018","Utah","49","25-29","37","15.0"
"Chlamydia","2018","Vermont","50","15-19","345","828.0"
"Chlamydia","2018","Vermont","50","20-24","730","1593.4"
"Chlamydia","2018","Vermont","50","25-29","357","951.2"
"Gonorrhea","2018","Vermont","50","15-19","31","74.4"
"Gonorrhea","2018","Vermont","50","20-24","71","155.0"
"Gonorrhea","2018","Vermont","50","25-29","61","162.5"
"Primary and Secondary Syphilis","2018","Vermont","50","15-19","2","4.8"
"Primary and Secondary Syphilis","2018","Vermont","50","20-24","1","2.2"
"Primary and Secondary Syphilis","2018","Vermont","50","25-29","3","8.0"
"Chlamydia","2018","Virginia","51","15-19","7,645","1412.4"
"Chlamydia","2018","Virginia","51","20-24","18,208","3157.9"
"Chlamydia","2018","Virginia","51","25-29","9,301","1545.5"
"Gonorrhea","2018","Virginia","51","15-19","1,407","259.9"
"Gonorrhea","2018","Virginia","51","20-24","3,618","627.5"
"Gonorrhea","2018","Virginia","51","25-29","2,945","489.4"
"Primary and Secondary Syphilis","2018","Virginia","51","15-19","9","1.7"
"Primary and Secondary Syphilis","2018","Virginia","51","20-24","127","22.0"
"Primary and Secondary Syphilis","2018","Virginia","51","25-29","174","28.9"
"Chlamydia","2018","Washington","53","15-19","7,661","1717.2"
"Chlamydia","2018","Washington","53","20-24","11,741","2437.3"
"Chlamydia","2018","Washington","53","25-29","6,603","1121.2"
"Gonorrhea","2018","Washington","53","15-19","1,040","233.1"
"Gonorrhea","2018","Washington","53","20-24","2,291","475.6"
"Gonorrhea","2018","Washington","53","25-29","2,456","417.0"
"Primary and Secondary Syphilis","2018","Washington","53","15-19","23","5.2"
"Primary and Secondary Syphilis","2018","Washington","53","20-24","111","23.0"
"Primary and Secondary Syphilis","2018","Washington","53","25-29","160","27.2"
"Chlamydia","2018","West Virginia","54","15-19","1,011","947.2"
"Chlamydia","2018","West Virginia","54","20-24","1,455","1291.8"
"Chlamydia","2018","West Virginia","54","25-29","603","532.1"
"Gonorrhea","2018","West Virginia","54","15-19","150","140.5"
"Gonorrhea","2018","West Virginia","54","20-24","311","276.1"
"Gonorrhea","2018","West Virginia","54","25-29","251","221.5"
"Primary and Secondary Syphilis","2018","West Virginia","54","15-19","3","2.8"
"Primary and Secondary Syphilis","2018","West Virginia","54","20-24","15","13.3"
"Primary and Secondary Syphilis","2018","West Virginia","54","25-29","12","10.6"
"Chlamydia","2018","Wisconsin","55","15-19","7,576","2003.5"
"Chlamydia","2018","Wisconsin","55","20-24","10,484","2653.5"
"Chlamydia","2018","Wisconsin","55","25-29","5,234","1398.6"
"Gonorrhea","2018","Wisconsin","55","15-19","1,684","445.3"
"Gonorrhea","2018","Wisconsin","55","20-24","2,152","544.7"
"Gonorrhea","2018","Wisconsin","55","25-29","1,569","419.3"
"Primary and Secondary Syphilis","2018","Wisconsin","55","15-19","9","2.4"
"Primary and Secondary Syphilis","2018","Wisconsin","55","20-24","34","8.6"
"Primary and Secondary Syphilis","2018","Wisconsin","55","25-29","33","8.8"
"Chlamydia","2018","Wyoming","56","15-19","677","1865.6"
"Chlamydia","2018","Wyoming","56","20-24","828","2169.5"
"Chlamydia","2018","Wyoming","56","25-29","356","916.3"
"Gonorrhea","2018","Wyoming","56","15-19","52","143.3"
"Gonorrhea","2018","Wyoming","56","20-24","75","196.5"
"Gonorrhea","2018","Wyoming","56","25-29","79","203.3"
"Primary and Secondary Syphilis","2018","Wyoming","56","15-19","2","5.5"
"Primary and Secondary Syphilis","2018","Wyoming","56","20-24","7","18.3"
"Primary and Secondary Syphilis","2018","Wyoming","56","25-29","5","12.9"
"Chlamydia","2017","Alabama","01","15-19","9,549","3000.3"
"Chlamydia","2017","Alabama","01","20-24","11,698","3557.7"
"Chlamydia","2017","Alabama","01","25-29","4,713","1392.5"
"Gonorrhea","2017","Alabama","01","15-19","2,755","865.6"
"Gonorrhea","2017","Alabama","01","20-24","3,857","1173.0"
"Gonorrhea","2017","Alabama","01","25-29","2,327","687.5"
"Primary and Secondary Syphilis","2017","Alabama","01","15-19","31","9.7"
"Primary and Secondary Syphilis","2017","Alabama","01","20-24","106","32.2"
"Primary and Secondary Syphilis","2017","Alabama","01","25-29","113","33.4"
"Chlamydia","2017","Alaska","02","15-19","1,249","2677.8"
"Chlamydia","2017","Alaska","02","20-24","2,019","3698.3"
"Chlamydia","2017","Alaska","02","25-29","1,274","2029.3"
"Gonorrhea","2017","Alaska","02","15-19","214","458.8"
"Gonorrhea","2017","Alaska","02","20-24","485","888.4"
"Gonorrhea","2017","Alaska","02","25-29","551","877.7"
"Primary and Secondary Syphilis","2017","Alaska","02","15-19","0","0.0"
"Primary and Secondary Syphilis","2017","Alaska","02","20-24","4","7.3"
"Primary and Secondary Syphilis","2017","Alaska","02","25-29","3","4.8"
"Chlamydia","2017","Arizona","04","15-19","9,386","2000.1"
"Chlamydia","2017","Arizona","04","20-24","14,461","2968.6"
"Chlamydia","2017","Arizona","04","25-29","7,692","1524.0"
"Gonorrhea","2017","Arizona","04","15-19","1,866","397.6"
"Gonorrhea","2017","Arizona","04","20-24","3,225","662.0"
"Gonorrhea","2017","Arizona","04","25-29","2,783","551.4"
"Primary and Secondary Syphilis","2017","Arizona","04","15-19","43","9.2"
"Primary and Secondary Syphilis","2017","Arizona","04","20-24","160","32.8"
"Primary and Secondary Syphilis","2017","Arizona","04","25-29","203","40.2"
"Chlamydia","2017","Arkansas","05","15-19","5,487","2772.2"
"Chlamydia","2017","Arkansas","05","20-24","6,397","3159.9"
"Chlamydia","2017","Arkansas","05","25-29","2,886","1402.9"
"Gonorrhea","2017","Arkansas","05","15-19","1,561","788.7"
"Gonorrhea","2017","Arkansas","05","20-24","1,993","984.5"
"Gonorrhea","2017","Arkansas","05","25-29","1,443","701.4"
"Primary and Secondary Syphilis","2017","Arkansas","05","15-19","20","10.1"
"Primary and Secondary Syphilis","2017","Arkansas","05","20-24","60","29.6"
"Primary and Secondary Syphilis","2017","Arkansas","05","25-29","49","23.8"
"Chlamydia","2017","California","06","15-19","40,306","1577.3"
"Chlamydia","2017","California","06","20-24","76,439","2778.6"
"Chlamydia","2017","California","06","25-29","45,924","1471.9"
"Gonorrhea","2017","California","06","15-19","7,260","284.1"
"Gonorrhea","2017","California","06","20-24","17,223","626.1"
"Gonorrhea","2017","California","06","25-29","17,117","548.6"
"Primary and Secondary Syphilis","2017","California","06","15-19","274","10.7"
"Primary and Secondary Syphilis","2017","California","06","20-24","1,089","39.6"
"Primary and Secondary Syphilis","2017","California","06","25-29","1,281","41.1"
"Chlamydia","2017","Colorado","08","15-19","6,610","1854.4"
"Chlamydia","2017","Colorado","08","20-24","9,613","2543.0"
"Chlamydia","2017","Colorado","08","25-29","5,239","1185.8"
"Gonorrhea","2017","Colorado","08","15-19","1,196","335.5"
"Gonorrhea","2017","Colorado","08","20-24","2,200","582.0"
"Gonorrhea","2017","Colorado","08","25-29","1,929","436.6"
"Primary and Secondary Syphilis","2017","Colorado","08","15-19","13","3.6"
"Primary and Secondary Syphilis","2017","Colorado","08","20-24","45","11.9"
"Primary and Secondary Syphilis","2017","Colorado","08","25-29","62","14.0"
"Chlamydia","2017","Connecticut","09","15-19","4,739","1940.7"
"Chlamydia","2017","Connecticut","09","20-24","6,779","2758.5"
"Chlamydia","2017","Connecticut","09","25-29","3,174","1441.5"
"Gonorrhea","2017","Connecticut","09","15-19","615","251.9"
"Gonorrhea","2017","Connecticut","09","20-24","1,070","435.4"
"Gonorrhea","2017","Connecticut","09","25-29","827","375.6"
"Primary and Secondary Syphilis","2017","Connecticut","09","15-19","9","3.7"
"Primary and Secondary Syphilis","2017","Connecticut","09","20-24","22","9.0"
"Primary and Secondary Syphilis","2017","Connecticut","09","25-29","21","9.5"
"Chlamydia","2017","Delaware","10","15-19","1,609","2675.6"
"Chlamydia","2017","Delaware","10","20-24","2,001","3398.6"
"Chlamydia","2017","Delaware","10","25-29","979","1452.3"
"Gonorrhea","2017","Delaware","10","15-19","312","518.8"
"Gonorrhea","2017","Delaware","10","20-24","487","827.1"
"Gonorrhea","2017","Delaware","10","25-29","387","574.1"
"Primary and Secondary Syphilis","2017","Delaware","10","15-19","2","3.3"
"Primary and Secondary Syphilis","2017","Delaware","10","20-24","9","15.3"
"Primary and Secondary Syphilis","2017","Delaware","10","25-29","11","16.3"
"Chlamydia","2017","District of Columbia","11","15-19","1,916","5216.3"
"Chlamydia","2017","District of Columbia","11","20-24","2,741","5144.9"
"Chlamydia","2017","District of Columbia","11","25-29","2,057","2454.4"
"Gonorrhea","2017","District of Columbia","11","15-19","623","1696.1"
"Gonorrhea","2017","District of Columbia","11","20-24","1,057","1984.0"
"Gonorrhea","2017","District of Columbia","11","25-29","1,140","1360.3"
"Primary and Secondary Syphilis","2017","District of Columbia","11","15-19","11","29.9"
"Primary and Secondary Syphilis","2017","District of Columbia","11","20-24","24","45.0"
"Primary and Secondary Syphilis","2017","District of Columbia","11","25-29","64","76.4"
"Chlamydia","2017","Florida","12","15-19","25,632","2127.6"
"Chlamydia","2017","Florida","12","20-24","36,783","2892.5"
"Chlamydia","2017","Florida","12","25-29","19,293","1354.4"
"Gonorrhea","2017","Florida","12","15-19","5,339","443.2"
"Gonorrhea","2017","Florida","12","20-24","9,086","714.5"
"Gonorrhea","2017","Florida","12","25-29","7,011","492.2"
"Primary and Secondary Syphilis","2017","Florida","12","15-19","121","10.0"
"Primary and Secondary Syphilis","2017","Florida","12","20-24","413","32.5"
"Primary and Secondary Syphilis","2017","Florida","12","25-29","498","35.0"
"Chlamydia","2017","Georgia","13","15-19","18,406","2547.6"
"Chlamydia","2017","Georgia","13","20-24","23,925","3335.4"
"Chlamydia","2017","Georgia","13","25-29","12,166","1614.9"
"Gonorrhea","2017","Georgia","13","15-19","4,043","559.6"
"Gonorrhea","2017","Georgia","13","20-24","6,894","961.1"
"Gonorrhea","2017","Georgia","13","25-29","5,191","689.0"
"Primary and Secondary Syphilis","2017","Georgia","13","15-19","71","9.8"
"Primary and Secondary Syphilis","2017","Georgia","13","20-24","278","38.8"
"Primary and Secondary Syphilis","2017","Georgia","13","25-29","391","51.9"
"Chlamydia","2017","Hawaii","15","15-19","1,369","1768.7"
"Chlamydia","2017","Hawaii","15","20-24","2,638","2823.6"
"Chlamydia","2017","Hawaii","15","25-29","1,368","1298.4"
"Gonorrhea","2017","Hawaii","15","15-19","148","191.2"
"Gonorrhea","2017","Hawaii","15","20-24","328","351.1"
"Gonorrhea","2017","Hawaii","15","25-29","306","290.4"
"Primary and Secondary Syphilis","2017","Hawaii","15","15-19","0","0.0"
"Primary and Secondary Syphilis","2017","Hawaii","15","20-24","15","16.1"
"Primary and Secondary Syphilis","2017","Hawaii","15","25-29","20","19.0"
"Chlamydia","2017","Idaho","16","15-19","1,829","1499.7"
"Chlamydia","2017","Idaho","16","20-24","2,257","1988.2"
"Chlamydia","2017","Idaho","16","25-29","1,053","907.4"
"Gonorrhea","2017","Idaho","16","15-19","104","85.3"
