"Date Printed: Monday, August 10, 2026 2:43:04 PM"
Title: "Chlamydia | Gonorrhea | Primary and Secondary Syphilis | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | 2022 | 2023 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | 15-19 | 20-24 | 25-29""
Footnote(s): 
   NA - Not Applicable.



Indicator,Year,Geography,FIPS,Age Group,Cases,Rate per 100000
"Chlamydia","2023","Iowa","19","25-29","2,282","1153.3"
"Gonorrhea","2023","Iowa","19","15-19","635","280.2"
"Gonorrhea","2023","Iowa","19","20-24","842","371.0"
"Gonorrhea","2023","Iowa","19","25-29","685","346.2"
"Primary and Secondary Syphilis","2023","Iowa","19","15-19","12","5.3"
"Primary and Secondary Syphilis","2023","Iowa","19","20-24","37","16.3"
"Primary and Secondary Syphilis","2023","Iowa","19","25-29","55","27.8"
"Chlamydia","2023","Kansas","20","15-19","3,572","1696.3"
"Chlamydia","2023","Kansas","20","20-24","4,959","2297.2"
"Chlamydia","2023","Kansas","20","25-29","2,167","1156.3"
"Gonorrhea","2023","Kansas","20","15-19","781","370.9"
"Gonorrhea","2023","Kansas","20","20-24","1,193","552.6"
"Gonorrhea","2023","Kansas","20","25-29","735","392.2"
"Primary and Secondary Syphilis","2023","Kansas","20","15-19","16","7.6"
"Primary and Secondary Syphilis","2023","Kansas","20","20-24","51","23.6"
"Primary and Secondary Syphilis","2023","Kansas","20","25-29","57","30.4"
"Chlamydia","2023","Kentucky","21","15-19","4,458","1514.3"
"Chlamydia","2023","Kentucky","21","20-24","6,032","2033.6"
"Chlamydia","2023","Kentucky","21","25-29","2,844","976.7"
"Gonorrhea","2023","Kentucky","21","15-19","934","317.3"
"Gonorrhea","2023","Kentucky","21","20-24","1,592","536.7"
"Gonorrhea","2023","Kentucky","21","25-29","1,065","365.7"
"Primary and Secondary Syphilis","2023","Kentucky","21","15-19","17","5.8"
"Primary and Secondary Syphilis","2023","Kentucky","21","20-24","58","19.6"
"Primary and Secondary Syphilis","2023","Kentucky","21","25-29","100","34.3"
"Chlamydia","2023","Louisiana","22","15-19","11,320","3683.8"
"Chlamydia","2023","Louisiana","22","20-24","12,520","4173.9"
"Chlamydia","2023","Louisiana","22","25-29","5,755","2017.5"
"Gonorrhea","2023","Louisiana","22","15-19","3,188","1037.4"
"Gonorrhea","2023","Louisiana","22","20-24","3,931","1310.5"
"Gonorrhea","2023","Louisiana","22","25-29","2,256","790.9"
"Primary and Secondary Syphilis","2023","Louisiana","22","15-19","67","21.8"
"Primary and Secondary Syphilis","2023","Louisiana","22","20-24","209","69.7"
"Primary and Secondary Syphilis","2023","Louisiana","22","25-29","233","81.7"
"Chlamydia","2023","Maine","23","15-19","294","362.2"
"Chlamydia","2023","Maine","23","20-24","425","551.7"
"Chlamydia","2023","Maine","23","25-29","173","217.2"
"Gonorrhea","2023","Maine","23","15-19","44","54.2"
"Gonorrhea","2023","Maine","23","20-24","122","158.4"
"Gonorrhea","2023","Maine","23","25-29","96","120.5"
"Primary and Secondary Syphilis","2023","Maine","23","15-19","1","1.2"
"Primary and Secondary Syphilis","2023","Maine","23","20-24","5","6.5"
"Primary and Secondary Syphilis","2023","Maine","23","25-29","8","10.0"
"Chlamydia","2023","Maryland","24","15-19","3,879","973.1"
"Chlamydia","2023","Maryland","24","20-24","4,877","1330.0"
"Chlamydia","2023","Maryland","24","25-29","2,587","684.8"
"Gonorrhea","2023","Maryland","24","15-19","1,727","433.2"
"Gonorrhea","2023","Maryland","24","20-24","2,289","624.2"
"Gonorrhea","2023","Maryland","24","25-29","1,490","394.4"
"Primary and Secondary Syphilis","2023","Maryland","24","15-19","28","7.0"
"Primary and Secondary Syphilis","2023","Maryland","24","20-24","128","34.9"
"Primary and Secondary Syphilis","2023","Maryland","24","25-29","142","37.6"
"Chlamydia","2023","Massachusetts","25","15-19","6,215","1374.5"
"Chlamydia","2023","Massachusetts","25","20-24","9,880","2062.8"
"Chlamydia","2023","Massachusetts","25","25-29","5,454","1141.5"
"Gonorrhea","2023","Massachusetts","25","15-19","1,206","266.7"
"Gonorrhea","2023","Massachusetts","25","20-24","2,246","468.9"
"Gonorrhea","2023","Massachusetts","25","25-29","1,981","414.6"
"Primary and Secondary Syphilis","2023","Massachusetts","25","15-19","22","4.9"
"Primary and Secondary Syphilis","2023","Massachusetts","25","20-24","79","16.5"
"Primary and Secondary Syphilis","2023","Massachusetts","25","25-29","135","28.3"
"Chlamydia","2023","Michigan","26","15-19","11,707","1809.1"
"Chlamydia","2023","Michigan","26","20-24","14,951","2242.3"
"Chlamydia","2023","Michigan","26","25-29","7,330","1148.0"
"Gonorrhea","2023","Michigan","26","15-19","3,178","491.1"
"Gonorrhea","2023","Michigan","26","20-24","3,975","596.2"
"Gonorrhea","2023","Michigan","26","25-29","2,782","435.7"
"Primary and Secondary Syphilis","2023","Michigan","26","15-19","32","4.9"
"Primary and Secondary Syphilis","2023","Michigan","26","20-24","112","16.8"
"Primary and Secondary Syphilis","2023","Michigan","26","25-29","167","26.2"
"Chlamydia","2023","Minnesota","27","15-19","5,409","1406.9"
"Chlamydia","2023","Minnesota","27","20-24","7,438","2072.0"
"Chlamydia","2023","Minnesota","27","25-29","3,635","1017.4"
"Gonorrhea","2023","Minnesota","27","15-19","1,183","307.7"
"Gonorrhea","2023","Minnesota","27","20-24","1,789","498.4"
"Gonorrhea","2023","Minnesota","27","25-29","1,387","388.2"
"Primary and Secondary Syphilis","2023","Minnesota","27","15-19","24","6.2"
"Primary and Secondary Syphilis","2023","Minnesota","27","20-24","57","15.9"
"Primary and Secondary Syphilis","2023","Minnesota","27","25-29","63","17.6"
"Chlamydia","2023","Mississippi","28","15-19","6,819","3210.0"
"Chlamydia","2023","Mississippi","28","20-24","7,304","3636.0"
"Chlamydia","2023","Mississippi","28","25-29","3,114","1705.7"
"Gonorrhea","2023","Mississippi","28","15-19","1,916","901.9"
"Gonorrhea","2023","Mississippi","28","20-24","2,377","1183.3"
"Gonorrhea","2023","Mississippi","28","25-29","1,220","668.2"
"Primary and Secondary Syphilis","2023","Mississippi","28","15-19","64","30.1"
"Primary and Secondary Syphilis","2023","Mississippi","28","20-24","142","70.7"
"Primary and Secondary Syphilis","2023","Mississippi","28","25-29","160","87.6"
"Chlamydia","2023","Missouri","29","15-19","8,854","2164.8"
"Chlamydia","2023","Missouri","29","20-24","10,394","2559.9"
"Chlamydia","2023","Missouri","29","25-29","5,149","1302.6"
"Gonorrhea","2023","Missouri","29","15-19","2,475","605.1"
"Gonorrhea","2023","Missouri","29","20-24","3,205","789.3"
"Gonorrhea","2023","Missouri","29","25-29","2,123","537.1"
"Primary and Secondary Syphilis","2023","Missouri","29","15-19","52","12.7"
"Primary and Secondary Syphilis","2023","Missouri","29","20-24","147","36.2"
"Primary and Secondary Syphilis","2023","Missouri","29","25-29","224","56.7"
"Chlamydia","2023","Montana","30","15-19","964","1365.3"
"Chlamydia","2023","Montana","30","20-24","1,283","1710.2"
"Chlamydia","2023","Montana","30","25-29","565","783.1"
"Gonorrhea","2023","Montana","30","15-19","97","137.4"
"Gonorrhea","2023","Montana","30","20-24","154","205.3"
"Gonorrhea","2023","Montana","30","25-29","131","181.6"
"Primary and Secondary Syphilis","2023","Montana","30","15-19","22","31.2"
"Primary and Secondary Syphilis","2023","Montana","30","20-24","43","57.3"
"Primary and Secondary Syphilis","2023","Montana","30","25-29","43","59.6"
"Chlamydia","2023","Nebraska","31","15-19","2,507","1776.0"
"Chlamydia","2023","Nebraska","31","20-24","3,387","2426.9"
"Chlamydia","2023","Nebraska","31","25-29","1,523","1211.7"
"Gonorrhea","2023","Nebraska","31","15-19","361","255.7"
"Gonorrhea","2023","Nebraska","31","20-24","575","412.0"
"Gonorrhea","2023","Nebraska","31","25-29","402","319.8"
"Primary and Secondary Syphilis","2023","Nebraska","31","15-19","6","4.3"
"Primary and Secondary Syphilis","2023","Nebraska","31","20-24","21","15.0"
"Primary and Secondary Syphilis","2023","Nebraska","31","25-29","42","33.4"
"Chlamydia","2023","Nevada","32","15-19","2,829","1445.2"
"Chlamydia","2023","Nevada","32","20-24","4,883","2641.0"
"Chlamydia","2023","Nevada","32","25-29","3,110","1434.2"
"Gonorrhea","2023","Nevada","32","15-19","788","402.5"
"Gonorrhea","2023","Nevada","32","20-24","1,341","725.3"
"Gonorrhea","2023","Nevada","32","25-29","1,189","548.3"
"Primary and Secondary Syphilis","2023","Nevada","32","15-19","19","9.7"
"Primary and Secondary Syphilis","2023","Nevada","32","20-24","88","47.6"
"Primary and Secondary Syphilis","2023","Nevada","32","25-29","121","55.8"
"Chlamydia","2023","New Hampshire","33","15-19","638","767.4"
"Chlamydia","2023","New Hampshire","33","20-24","1,070","1256.3"
"Chlamydia","2023","New Hampshire","33","25-29","448","526.0"
"Gonorrhea","2023","New Hampshire","33","15-19","77","92.6"
"Gonorrhea","2023","New Hampshire","33","20-24","138","162.0"
"Gonorrhea","2023","New Hampshire","33","25-29","114","133.8"
"Primary and Secondary Syphilis","2023","New Hampshire","33","15-19","1","1.2"
"Primary and Secondary Syphilis","2023","New Hampshire","33","20-24","7","8.2"
"Primary and Secondary Syphilis","2023","New Hampshire","33","25-29","9","10.6"
"Chlamydia","2023","New Jersey","34","15-19","8,267","1411.1"
"Chlamydia","2023","New Jersey","34","20-24","12,328","2231.9"
"Chlamydia","2023","New Jersey","34","25-29","6,708","1173.3"
"Gonorrhea","2023","New Jersey","34","15-19","1,743","297.5"
"Gonorrhea","2023","New Jersey","34","20-24","2,722","492.8"
"Gonorrhea","2023","New Jersey","34","25-29","1,922","336.2"
"Primary and Secondary Syphilis","2023","New Jersey","34","15-19","32","5.5"
"Primary and Secondary Syphilis","2023","New Jersey","34","20-24","115","20.8"
"Primary and Secondary Syphilis","2023","New Jersey","34","25-29","129","22.6"
"Chlamydia","2023","New Mexico","35","15-19","2,308","1597.6"
"Chlamydia","2023","New Mexico","35","20-24","3,593","2510.3"
"Chlamydia","2023","New Mexico","35","25-29","2,030","1510.4"
"Gonorrhea","2023","New Mexico","35","15-19","372","257.5"
"Gonorrhea","2023","New Mexico","35","20-24","724","505.8"
"Gonorrhea","2023","New Mexico","35","25-29","630","468.7"
"Primary and Secondary Syphilis","2023","New Mexico","35","15-19","23","15.9"
"Primary and Secondary Syphilis","2023","New Mexico","35","20-24","65","45.4"
"Primary and Secondary Syphilis","2023","New Mexico","35","25-29","147","109.4"
"Chlamydia","2023","New York","36","15-19","22,140","1847.6"
"Chlamydia","2023","New York","36","20-24","32,144","2584.7"
"Chlamydia","2023","New York","36","25-29","21,563","1617.8"
"Gonorrhea","2023","New York","36","15-19","4,562","380.7"
"Gonorrhea","2023","New York","36","20-24","8,474","681.4"
"Gonorrhea","2023","New York","36","25-29","9,516","714.0"
"Primary and Secondary Syphilis","2023","New York","36","15-19","96","8.0"
"Primary and Secondary Syphilis","2023","New York","36","20-24","340","27.3"
"Primary and Secondary Syphilis","2023","New York","36","25-29","508","38.1"
"Chlamydia","2023","North Carolina","37","15-19","17,220","2379.5"
"Chlamydia","2023","North Carolina","37","20-24","23,630","3249.7"
"Chlamydia","2023","North Carolina","37","25-29","11,426","1618.7"
"Gonorrhea","2023","North Carolina","37","15-19","4,747","656.0"
"Gonorrhea","2023","North Carolina","37","20-24","7,405","1018.4"
"Gonorrhea","2023","North Carolina","37","25-29","5,010","709.8"
"Primary and Secondary Syphilis","2023","North Carolina","37","15-19","74","10.2"
"Primary and Secondary Syphilis","2023","North Carolina","37","20-24","345","47.4"
"Primary and Secondary Syphilis","2023","North Carolina","37","25-29","372","52.7"
"Chlamydia","2023","North Dakota","38","15-19","712","1277.3"
"Chlamydia","2023","North Dakota","38","20-24","1,262","2013.9"
"Chlamydia","2023","North Dakota","38","25-29","611","1139.6"
"Gonorrhea","2023","North Dakota","38","15-19","130","233.2"
"Gonorrhea","2023","North Dakota","38","20-24","261","416.5"
"Gonorrhea","2023","North Dakota","38","25-29","227","423.4"
"Primary and Secondary Syphilis","2023","North Dakota","38","15-19","4","7.2"
"Primary and Secondary Syphilis","2023","North Dakota","38","20-24","19","30.3"
"Primary and Secondary Syphilis","2023","North Dakota","38","25-29","22","41.0"
"Chlamydia","2023","Ohio","39","15-19","14,839","1932.0"
"Chlamydia","2023","Ohio","39","20-24","18,477","2476.0"
"Chlamydia","2023","Ohio","39","25-29","9,515","1263.9"
"Gonorrhea","2023","Ohio","39","15-19","3,624","471.8"
"Gonorrhea","2023","Ohio","39","20-24","4,998","669.7"
"Gonorrhea","2023","Ohio","39","25-29","3,691","490.3"
"Primary and Secondary Syphilis","2023","Ohio","39","15-19","51","6.6"
"Primary and Secondary Syphilis","2023","Ohio","39","20-24","201","26.9"
"Primary and Secondary Syphilis","2023","Ohio","39","25-29","268","35.6"
"Chlamydia","2023","Oklahoma","40","15-19","4,724","1654.4"
"Chlamydia","2023","Oklahoma","40","20-24","7,010","2448.2"
"Chlamydia","2023","Oklahoma","40","25-29","3,310","1235.4"
"Gonorrhea","2023","Oklahoma","40","15-19","1,049","367.4"
"Gonorrhea","2023","Oklahoma","40","20-24","1,780","621.7"
"Gonorrhea","2023","Oklahoma","40","25-29","1,211","452.0"
"Primary and Secondary Syphilis","2023","Oklahoma","40","15-19","26","9.1"
"Primary and Secondary Syphilis","2023","Oklahoma","40","20-24","135","47.1"
"Primary and Secondary Syphilis","2023","Oklahoma","40","25-29","175","65.3"
"Chlamydia","2023","Oregon","41","15-19","2,806","1100.3"
"Chlamydia","2023","Oregon","41","20-24","4,968","1918.3"
"Chlamydia","2023","Oregon","41","25-29","2,828","1015.5"
"Gonorrhea","2023","Oregon","41","15-19","283","111.0"
"Gonorrhea","2023","Oregon","41","20-24","775","299.2"
"Gonorrhea","2023","Oregon","41","25-29","908","326.0"
"Primary and Secondary Syphilis","2023","Oregon","41","15-19","13","5.1"
"Primary and Secondary Syphilis","2023","Oregon","41","20-24","66","25.5"
"Primary and Secondary Syphilis","2023","Oregon","41","25-29","114","40.9"
"Chlamydia","2023","Pennsylvania","42","15-19","15,139","1796.7"
"Chlamydia","2023","Pennsylvania","42","20-24","18,545","2305.3"
"Chlamydia","2023","Pennsylvania","42","25-29","9,141","1156.3"
"Gonorrhea","2023","Pennsylvania","42","15-19","3,884","460.9"
"Gonorrhea","2023","Pennsylvania","42","20-24","4,618","574.1"
"Gonorrhea","2023","Pennsylvania","42","25-29","3,322","420.2"
"Primary and Secondary Syphilis","2023","Pennsylvania","42","15-19","50","5.9"
"Primary and Secondary Syphilis","2023","Pennsylvania","42","20-24","159","19.8"
"Primary and Secondary Syphilis","2023","Pennsylvania","42","25-29","203","25.7"
"Chlamydia","2023","Rhode Island","44","15-19","1,284","1773.8"
"Chlamydia","2023","Rhode Island","44","20-24","1,806","2430.4"
"Chlamydia","2023","Rhode Island","44","25-29","918","1288.4"
